feature,feature_id,importance
COD_COV_COM_C_CountDeclMethod,f94,0
COD_COV_COM_C_CountDeclInstanceVariable,f93,0
COD_COV_COM_C_CountDeclInstanceMethod,f92,0
COD_COV_COM_C_CountDeclExecutableUnit,f91,0
COD_COV_COM_C_CountDeclClassVariable,f90,0
COD_COV_COM_C_CountDeclClassMethod,f89,0
COD_COV_COM_C_CountDeclClass,f88,0
COD_COV_COM_C_SumEssential,f87,0
COD_COV_COM_C_SumCyclomaticStrict,f86,0
COD_COV_COM_C_SumCyclomaticModified,f85,0
COD_COV_COM_C_SumCyclomatic,f84,0
COD_COV_COM_C_CountStmtDecl,f76,0
